url,price,Lng,Lat,district,distance,age,square,communityAverage,followers,tradeTime,constructionTime,livingRoom,floorType,floorHeight,buildingType,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway
https://bj.lianjia.com/chengjiao/BJCY91098263.html,37123,116.461699,39.887384,7,0.056843286824393144,23,65.19,58885.0,27,2016,1996,2,High,18,1,3,6,0.2,1,1,1
https://bj.lianjia.com/chengjiao/BJSJ87595418.html,37476,116.233381,39.896656,9,0.17418244543294392,13,86.99,63657.0,3,2014,2006,2,Middle,17,4,4,6,0.5,1,1,0
https://bj.lianjia.com/chengjiao/BJDC84645622.html,38627,116.445042,39.894679,1,0.03882743366487827,17,34.95,93124.0,0,2012,2002,1,High,12,3,1,6,0.111,1,1,1
https://bj.lianjia.com/chengjiao/101091911752.html,66170,116.426534,40.002876,7,0.10051399371231763,12,92.49,60587.0,20,2016,2007,2,Middle,18,3,4,6,0.5,1,1,1
https://bj.lianjia.com/chengjiao/BJSY84140357.html,13844,116.670768,40.209956,13,0.40354607538668613,11,54.9,47194.0,0,2012,2008,1,Top,6,4,1,6,0.333,1,1,0
https://bj.lianjia.com/chengjiao/BJCY88462152.html,40788,116.420275,40.041687,7,0.13808852520756476,13,128.69,83591.0,1,2014,2006,2,Middle,9,4,3,6,0.5,1,1,1
https://bj.lianjia.com/chengjiao/101101385264.html,85664,116.505098,39.918019,7,0.09867048173086804,14,90.47,82664.0,108,2017,2005,2,High,16,4,4,6,0.4,1,1,1
https://bj.lianjia.com/chengjiao/BJCY87217325.html,34038,116.521774,39.94004,7,0.11985790535463049,12,87.55,62598.0,8,2015,2007,2,Low,27,3,1,6,0.4,1,1,0
https://bj.lianjia.com/chengjiao/101101016840.html,52822,116.59488600000002,39.910677,7,0.18759784573658592,12,99.77,45177.0,16,2017,2007,2,Top,16,4,4,6,0.5,1,1,1
https://bj.lianjia.com/chengjiao/BJCY91153331.html,37132,116.518854,39.939588,7,0.11693718253832629,13,113.11,58092.0,4,2016,2006,3,Low,27,3,1,6,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101091876452.html,56621,116.365511,40.036171,8,0.13845950007854216,14,92.37,68148.0,28,2016,2005,2,Low,13,4,4,6,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101100423339.html,42239,116.426734,40.066064,6,0.16301459459814682,20,67.0,39114.0,38,2016,1999,2,Middle,6,4,4,2,0.5,0,0,1
https://bj.lianjia.com/chengjiao/BJXC88900988.html,50356,116.35881,39.905008,10,0.04859671762577223,31,57.59,88283.0,10,2015,1988,2,Top,6,4,4,2,0.5,0,0,1
https://bj.lianjia.com/chengjiao/BJDC89194947.html,38957,116.452098,39.94978,1,0.06383923248285832,23,62.89,66859.0,38,2015,1996,2,Top,6,4,3,2,0.5,0,0,1
https://bj.lianjia.com/chengjiao/BJCY84191387.html,29022,116.4388,40.054941,7,0.15397665109034955,8,52.72,77695.0,0,2012,2011,1,Middle,17,3,1,6,0.174,1,1,1
https://bj.lianjia.com/chengjiao/BJCP86010706.html,9585,116.40635,40.052459000000006,6,0.14826271810877095,21,63.85,45724.0,0,2013,1998,1,Top,6,4,1,2,0.333,0,0,0
https://bj.lianjia.com/chengjiao/BJHD90912272.html,33362,116.316963,40.056306,8,0.17696069112940832,19,119.9,52911.0,11,2015,2000,3,Middle,6,4,4,2,0.5,0,0,1
https://bj.lianjia.com/chengjiao/BJCY90642642.html,37148,116.481632,39.927935,7,0.07793420333204878,30,47.11,67899.0,7,2015,1989,1,Low,16,4,4,6,0.214,1,1,1
https://bj.lianjia.com/chengjiao/101101241631.html,63188,116.427678,40.033369,7,0.13075101469969372,19,91.79,54948.0,65,2017,2000,3,Middle,6,4,3,2,0.5,0,0,1
